  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND    
  653 root      20   0  785568 118372 100256 S   2.3   3.0   0:37.18 Xorg       
 2305 rescuec+  20   0  119304  30248  24228 S   1.7   0.8   0:01.37 x-termina+ 
  826 rescuec+  20   0  254384  64488  49624 S   1.0   1.7   0:17.27 mutter     
 2352 rescuec+  20   0   11348   3004   2584 R   0.7   0.1   0:00.48 top        
  465 nobody    20   0    5308   2272   2084 S   0.3   0.1   0:00.90 thd        
    1 root      20   0   33848   8784   6996 S   0.0   0.2   0:02.60 systemd    
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd   
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp     
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp 
    5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_flus+ 
    6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns      
    9 root      20   0       0      0      0 I   0.0   0.0   0:01.82 kworker/u+ 
   10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu+ 
   11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks+ 
   12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks+ 
   13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks+ 
   14 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftirqd+
